"7D, 3S"
"QH, 8H"
"2C, QD"
"3S, 6S"
"7S, 2S"
"2D, 8C"
"10C, QS"
"7C, QD"
"JD, 2D"
"QS, 2S"
"2H, 3C"
"4C, 9S"
"4H, 8S"
"8H, 7H"
"8C, 4D"
"3C, 7D"
"6C, 2S"
"3H, 9S"
"5C, 2H"
"6S, 2D"
"6C, 2D"
"6D, 9C"
"9D, 6S"
"3H, 8H"
"7H, 2S"
"KC, 7D"
"9D, 2D"
"QD, 10D"
"7H, 2D"
"AC, QD"
"2D, 10H"
"4D, 9S"
"7H, 9C"
"4H, JC"
"KS, 10C"
"9H, AH"
"4D, 7C"
"10C, 10S"
"JC, 9H"
"AD, 6C"
"QS, JH"
"2D, 3H"
"2D, AH"
"10H, 2S"
"2H, QD"
"KH, AH"
"9D, QS"
"4D, 4C"
"7S, 6D"
"4S, AH"
"5C, 4D"
"JS, 9S"
"9C, 9D"
"2C, AH"
"9D, 10D"
"QD, 3D"
"9H, 9C"
"4H, JH"
"9S, AS"
"3C, 3D"
"KS, AD"
"AH, 3H"
"5H, 7C"
"5D, 5S"
"3C, KH"
"4C, JS"
"8H, 9S"
"QC, QH"
"JS, 10C"
"AS, KH"
"AD, 9C"
"QC, QS"
"6S, KD"
"QH, 10D"
"3H, 4S"
"2C, 4C"
"8D, 3S"
"6D, JH"
"10C, 4D"
"9S, 3H"
"10D, 10H"
"7D, JH"
"10C, 4H"
"3D, KS"
"9C, 10C"
"6C, QC"
"5H, 2S"
"AS, 9H"
"6S, 10S"
"8C, JC"
"JD, 7S"
"8C, KC"
"5H, KD"
"QC, 6D"
"AH, 2C"
"5H, 7C"
"QH, 2D"
"8C, AD"
"AD, 7C"
"5H, JD"
"2D, 10C"
"2S, 8D"
"10C, QD"
"5C, 8D"
"QH, 6C"
"2D, 5H"
"2S, QC"
"AD, 3C"
"4S, 8S"
"JC, 4D"
"10C, 2S"
"3H, AH"
"AD, 6S"
"7D, 8S"
"4C, QS"
"10C, AC"
"KS, 4D"
"9H, 4S"
"10S, AC"
"9D, 10S"
"KS, JD"
"AC, JH"
"5D, 10C"
"3D, 9C"
"4C, 7H"
"QD, 7S"
"4H, QH"
"4D, 3D"
"8H, 7H"
"5H, 8D"
"5S, 9H"
"7D, 2H"
"5D, 2C"
"4S, AH"
"4D, 5H"
"QS, 7D"
"JH, QC"
"2S, 7S"
"KC, 3C"
"7H, 6S"
"QC, 10H"
"4C, 5H"
"4H, QS"
"8D, 7H"
"KH, AD"
"JD, KC"
"5S, QD"
"3C, QH"
"4H, JS"
"9D, JC"
"5C, AC"
"6D, 4D"
"JS, 8S"
"KC, 4H"
"4S, JH"
"3S, 5H"
"5H, 4S"
"2S, 8S"
"3D, KC"
"2D, 3C"
"QD, 10C"
"8S, 10C"
"8C, 3S"
"6S, QH"
"9D, 5S"
"AH, 6S"
"QS, JS"
"7C, 2S"
"KS, 4D"
"8D, QC"
"10S, 6S"
"9D, QD"
"6C, QH"
"7S, QS"
"2H, 6H"
"7H, 8D"
"9C, 7H"
"QC, 6C"
"QS, 3D"
"9C, 10H"
"3S, 9D"
"JH, 5H"
"10S, 5C"
"8H, AC"
"10S, QS"
"AS, 9D"
"9S, 6S"
"QD, 8C"
"QS, AH"
"KC, KS"
"5C, 3H"
"7D, 2S"
"5D, 5S"
"9H, 3H"
"7C, 3C"
"9C, 10S"
"3H, QH"
"9S, 7C"
"3C, 10C"
"3S, 5H"
"2C, 7S"
"6S, 6C"
"9H, JH"
"8S, 4C"
"JC, 5D"
"6D, 2H"
"JD, QS"
"10S, 9S"
"9S, 4H"
"7D, 4H"
"4H, 7H"
"9S, 6D"
"10S, AC"
"KC, 8S"
"8H, 3C"
"7D, 3H"
"2C, 3D"
"5C, AS"
"AC, QD"
"2S, 2D"
"KD, 10S"
"3H, AH"
"9C, 3C"
"AD, 6H"
"AS, 3D"
"6H, AC"
"9C, 8S"
"6H, 7H"
"QS, JC"
"5S, 4H"
"10S, 2H"
"6S, 8C"
"6D, 3D"
"2H, 3C"
"10D, 9D"
"4D, JH"
"JC, 7D"
"QS, 5C"
"9H, 8C"
"KD, 9S"
"JC, 3D"
